stop_id,stop_name
401708,1 AV/E 70 ST
401709,1 AV/E 72 ST
401710,1 AV/E 75 ST
401711,1 AV/E 77 ST
401712,1 AV/E 79 ST
401715,1 AV/E 86 ST
401716,1 AV/E 89 ST
401718,1 AV/E 93 ST
401721,1 AV/E 99 ST
401722,1 AV/E 102 ST
401723,1 AV/E 106 ST
401724,1 AV/E 108 ST
401725,1 AV/E 111 ST
401726,1 AV/E 113 ST
401727,1 AV/E 116 ST
401729,1 AV/E 120 ST
401730,1 AV/PALADINO AV
401731,1 AV/E 125 ST
401732,E 126 ST/2 AV
401738,2 AV/E 125 ST
401739,2 AV/E 122 ST
401740,2 AV/E 119 ST
401741,2 AV/E 116 ST
401742,2 AV/E 113 ST
401744,2 AV/E 108 ST
401745,2 AV/E 106 ST
401746,2 AV/103 ST
401747,2 AV/E 101 ST
401748,2 AV/E 97 ST
401749,2 AV/E 96 ST
401753,2 AV/E 87 ST
401754,2 AV/E 84 ST
401755,2 AV/E 82 ST
401756,2 AV/E 78 ST
401758,2 AV/E 75 ST
401759,2 AV/E 72 ST
401760,2 AV/E 70 ST
401761,2 AV/E 68 ST
401762,2 AV/E 66 ST
401763,2 AV/E 64 ST
401764,2 AV/E 61 ST
401765,2 AV/E 57 ST
401768,2 AV/E 50 ST
401769,2 AV/E 46 ST
401771,2 AV/E 42 ST
401772,2 AV/E 39 ST
401775,2 AV/E 31 ST
401778,2 AV/E 25 ST
401779,2 AV/E 23 ST
401780,2 AV/E 20 ST
401781,2 AV/E 17 ST
401782,2 AV/E 14 ST
401784,2 AV/E 9 ST
401785,2 AV/E 6 ST
401786,2 AV/E 3 ST
401787,E HOUSTON ST/FORSYTH ST
401793,ALLEN ST/CANAL ST
401797,PEARL ST/FRANKFORT ST
401802,WATER ST/HANOVER SQ
401806,WORTH ST/CENTRE ST
401808,CENTRE ST/CHAMBERS ST
401812,W 42 ST/12 AV
401813,W 42 ST/11 AV
401814,W 42 ST/10 AV
401818,W 34 ST/9 AV
401819,W 34 ST/8 AV
401821,W 34 ST/BROADWAY
401822,E 34 ST/5 AV
401824,E 34 ST/PARK AV
401826,E 34 ST/3 AV
401827,E 34 ST/2 AV
401832,E 23 ST/2 AV
401833,E 23 ST/1 AV
401840,E 34 ST/3 AV
401842,E 34 ST/PARK AV
401844,W 34 ST/5 AV
401847,W 34 ST/7 AV
401848,W 34 ST/8 AV
401850,8 AV/W 40 ST
401851,W 42 ST/8 AV
401852,W 42 ST/9 AV
401853,W 42 ST/10 AV
401857,WATERSIDE/WATERSIDE 1
401858,WATERSIDE/WATERSIDE 2
401867,W 81 ST/COLUMBUS AV
401868,W 81 ST/CENTRAL PK W
401869,E 79 ST TRANSVERSE/E 79 ST TRANSVERSE
401870,E 79 ST/5 AV
401875,E 79 ST/2 AV
401876,E 79 ST/1 AV
401877,YORK AV/E 79 ST
401878,E 80 ST/EAST END AV
401880,E 79 ST/EAST END AV
401881,E 79 ST/YORK AV
401882,E 79 ST/1 AV
401883,E 79 ST/2 AV
401884,E 79 ST/3 AV
401887,E 79 ST/MADISON AV
401889,E 79 ST TRANSVERSE/E 79 ST TRANSVERSE
401890,W 81 ST/CENTRAL PK W
401893,W 79 ST/BROADWAY
401897,W 86 ST/AMSTERDAM AV
401898,W 86 ST/COLUMBUS AV
401899,W 86 ST/CENTRAL PK W
401900,W 86 ST/TRANSVERSE
401901,E 84 ST/5 AV
